,Latitude,Longitude,Stop Name,Stop Status
0,,,,
0,40.660418,-73.980355,PROSPECT PK W/16 ST,approaching
0,40.666754,-73.98131,9 ST/7 AV,approaching
0,40.677892,-74.012268,VAN BRUNT ST/PIONEER ST,< 1 stop away
0,40.679621,-74.010237,VAN BRUNT ST/KING ST,< 1 stop away
